time,amplitude,theta_power,alpha_power,beta_power,gamma_power,command,visual_impairment
1.574,-49.7,0.14,0.5,0.27,0.09,NONE,NORMAL
1.578,-54.23,0.14,0.5,0.27,0.09,NONE,NORMAL
1.582,-56.34,0.14,0.5,0.27,0.09,NONE,NORMAL
1.586,-53.87,0.14,0.5,0.27,0.09,NONE,NORMAL
1.59,-54.35,0.14,0.5,0.27,0.09,NONE,NORMAL
1.594,-59.32,0.14,0.5,0.27,0.09,NONE,NORMAL
1.598,-47.67,0.14,0.5,0.27,0.09,NONE,NORMAL
1.602,-51.3,0.14,0.5,0.27,0.09,NONE,NORMAL
1.605,-52.01,0.14,0.5,0.27,0.09,NONE,NORMAL
1.609,-38.36,0.14,0.5,0.27,0.09,NONE,NORMAL
1.613,-29.23,0.14,0.5,0.27,0.09,NONE,NORMAL
1.617,-20.54,0.14,0.5,0.27,0.09,NONE,NORMAL
1.621,-11.51,0.14,0.5,0.27,0.09,NONE,NORMAL
1.625,-2.31,0.14,0.5,0.27,0.09,NONE,NORMAL
1.629,-12.4,0.14,0.5,0.27,0.09,NONE,NORMAL
1.633,7.12,0.14,0.5,0.27,0.09,NONE,NORMAL
1.637,5.36,0.14,0.5,0.27,0.09,NONE,NORMAL
1.641,13.1,0.14,0.5,0.27,0.09,NONE,NORMAL
1.645,25.27,0.14,0.5,0.27,0.09,NONE,NORMAL
1.648,27.67,0.14,0.5,0.27,0.09,NONE,NORMAL
1.652,33.1,0.14,0.5,0.27,0.09,NONE,NORMAL
1.656,38.62,0.14,0.5,0.27,0.09,NONE,NORMAL
1.66,30.59,0.14,0.5,0.27,0.09,NONE,NORMAL
1.664,13.6,0.14,0.5,0.27,0.09,NONE,NORMAL
1.668,19.41,0.14,0.5,0.27,0.09,NONE,NORMAL
1.672,20.07,0.14,0.5,0.27,0.09,NONE,NORMAL
1.676,17.1,0.14,0.5,0.27,0.09,NONE,NORMAL
1.68,16.65,0.14,0.5,0.27,0.09,NONE,NORMAL
1.684,-0.51,0.14,0.5,0.27,0.09,NONE,NORMAL
1.688,8.07,0.14,0.5,0.27,0.09,NONE,NORMAL
1.691,5.95,0.14,0.5,0.27,0.09,NONE,NORMAL
1.695,3.09,0.14,0.5,0.27,0.09,NONE,NORMAL
1.699,-6.04,0.14,0.5,0.27,0.09,NONE,NORMAL
1.703,-8.55,0.14,0.5,0.27,0.09,NONE,NORMAL
1.707,-9.42,0.14,0.5,0.27,0.09,NONE,NORMAL
1.711,-7.14,0.14,0.5,0.27,0.09,NONE,NORMAL
1.715,5.1,0.14,0.5,0.27,0.09,NONE,NORMAL
1.719,7.8,0.14,0.5,0.27,0.09,NONE,NORMAL
1.723,8.88,0.14,0.5,0.27,0.09,NONE,NORMAL
1.727,0.38,0.14,0.5,0.27,0.09,NONE,NORMAL
1.73,7.79,0.14,0.5,0.27,0.09,NONE,NORMAL
1.734,2.36,0.14,0.5,0.27,0.09,NONE,NORMAL
1.738,13.92,0.14,0.5,0.27,0.09,NONE,NORMAL
1.742,10.27,0.14,0.5,0.27,0.09,NONE,NORMAL
1.746,-6.85,0.14,0.5,0.27,0.09,NONE,NORMAL
1.75,6.06,0.14,0.5,0.27,0.09,NONE,NORMAL
1.754,-10.57,0.14,0.5,0.27,0.09,NONE,NORMAL
1.758,-7.73,0.14,0.5,0.27,0.09,NONE,NORMAL
1.762,-22.29,0.14,0.5,0.27,0.09,NONE,NORMAL
1.766,-23.2,0.14,0.5,0.27,0.09,NONE,NORMAL
1.77,-32.28,0.14,0.5,0.27,0.09,NONE,NORMAL
1.773,-32.57,0.14,0.5,0.27,0.09,NONE,NORMAL
1.777,-34.66,0.14,0.5,0.27,0.09,NONE,NORMAL
1.781,-38.9,0.14,0.5,0.27,0.09,NONE,NORMAL
1.785,-30.12,0.14,0.5,0.27,0.09,NONE,NORMAL
1.789,-25.29,0.14,0.5,0.27,0.09,NONE,NORMAL
1.793,-36.48,0.14,0.5,0.27,0.09,NONE,NORMAL
1.797,-25.59,0.14,0.5,0.27,0.09,NONE,NORMAL
1.801,-16.57,0.14,0.5,0.27,0.09,NONE,NORMAL
1.805,-9.09,0.14,0.5,0.27,0.09,NONE,NORMAL
1.809,2.48,0.14,0.5,0.27,0.09,NONE,NORMAL
1.812,14.16,0.14,0.5,0.27,0.09,NONE,NORMAL
1.816,20.51,0.14,0.5,0.27,0.09,NONE,NORMAL
1.82,29.97,0.14,0.5,0.27,0.09,NONE,NORMAL
1.824,43.81,0.14,0.5,0.27,0.09,NONE,NORMAL
1.828,50.16,0.14,0.5,0.27,0.09,NONE,NORMAL
1.832,48.57,0.14,0.5,0.27,0.09,NONE,NORMAL
1.836,55.02,0.14,0.5,0.27,0.09,NONE,NORMAL
1.84,57.82,0.14,0.5,0.27,0.09,NONE,NORMAL
1.844,53.02,0.14,0.5,0.27,0.09,NONE,NORMAL
1.848,59.07,0.14,0.5,0.27,0.09,NONE,NORMAL
1.852,61.43,0.14,0.5,0.27,0.09,NONE,NORMAL
1.855,52.82,0.14,0.5,0.27,0.09,NONE,NORMAL
1.859,36.83,0.14,0.5,0.27,0.09,NONE,NORMAL
1.863,41.9,0.14,0.5,0.27,0.09,NONE,NORMAL
1.867,40.94,0.14,0.5,0.27,0.09,NONE,NORMAL
1.871,27.34,0.14,0.5,0.27,0.09,NONE,NORMAL
1.875,33.79,0.14,0.5,0.27,0.09,NONE,NORMAL
1.879,27.91,0.14,0.5,0.27,0.09,NONE,NORMAL
1.883,8.11,0.14,0.5,0.27,0.09,NONE,NORMAL
1.887,2.48,0.14,0.5,0.27,0.09,NONE,NORMAL
1.891,-0.83,0.14,0.5,0.27,0.09,NONE,NORMAL
1.895,-25.14,0.14,0.5,0.27,0.09,NONE,NORMAL
1.898,-33.92,0.14,0.5,0.27,0.09,NONE,NORMAL
1.902,-49.08,0.14,0.5,0.27,0.09,NONE,NORMAL
1.906,-43.05,0.14,0.5,0.27,0.09,NONE,NORMAL
1.91,-62.02,0.14,0.5,0.27,0.09,NONE,NORMAL
1.914,-67.84,0.14,0.5,0.27,0.09,NONE,NORMAL
1.918,-83.68,0.14,0.5,0.27,0.09,NONE,NORMAL
1.922,-94.01,0.14,0.5,0.27,0.09,NONE,NORMAL
1.926,-91.91,0.14,0.5,0.27,0.09,NONE,NORMAL
1.93,-93.87,0.14,0.5,0.27,0.09,NONE,NORMAL
1.934,-104.61,0.14,0.5,0.27,0.09,NONE,NORMAL
1.938,-97.83,0.14,0.5,0.27,0.09,NONE,NORMAL
1.941,-85.52,0.14,0.5,0.27,0.09,NONE,NORMAL
1.945,-79.12,0.14,0.5,0.27,0.09,NONE,NORMAL
1.949,-59.88,0.14,0.5,0.27,0.09,NONE,NORMAL
1.953,-45.61,0.14,0.5,0.27,0.09,NONE,NORMAL
1.957,-30.87,0.14,0.5,0.27,0.09,NONE,NORMAL
1.961,-9.27,0.14,0.5,0.27,0.09,NONE,NORMAL
1.965,-1.53,0.14,0.5,0.27,0.09,NONE,NORMAL
1.969,25.11,0.14,0.5,0.27,0.09,NONE,NORMAL
1.973,36.82,0.14,0.5,0.27,0.09,NONE,NORMAL
1.977,51.21,0.14,0.5,0.27,0.09,NONE,NORMAL
1.98,72.63,0.14,0.5,0.27,0.09,NONE,NORMAL
1.984,80.85,0.14,0.5,0.27,0.09,NONE,NORMAL
1.988,99.53,0.14,0.5,0.27,0.09,NONE,NORMAL
1.992,95.25,0.14,0.5,0.27,0.09,NONE,NORMAL
1.996,94.68,0.14,0.5,0.27,0.09,NONE,NORMAL
2.0,103.37,0.11,0.58,0.25,0.07,NONE,NORMAL
2.004,101.95,0.11,0.58,0.25,0.07,NONE,NORMAL
2.008,96.97,0.11,0.58,0.25,0.07,NONE,NORMAL
2.012,85.26,0.11,0.58,0.25,0.07,NONE,NORMAL
2.016,79.89,0.11,0.58,0.25,0.07,NONE,NORMAL
2.02,61.24,0.11,0.58,0.25,0.07,NONE,NORMAL
2.023,60.27,0.11,0.58,0.25,0.07,NONE,NORMAL
2.027,43.54,0.11,0.58,0.25,0.07,NONE,NORMAL
2.031,24.23,0.11,0.58,0.25,0.07,NONE,NORMAL
2.035,12.26,0.11,0.58,0.25,0.07,NONE,NORMAL
2.039,10.32,0.11,0.58,0.25,0.07,NONE,NORMAL
2.043,-11.07,0.11,0.58,0.25,0.07,NONE,NORMAL
2.047,-10.25,0.11,0.58,0.25,0.07,NONE,NORMAL
2.051,-22.02,0.11,0.58,0.25,0.07,NONE,NORMAL
2.055,-43.8,0.11,0.58,0.25,0.07,NONE,NORMAL
2.059,-46.05,0.11,0.58,0.25,0.07,NONE,NORMAL
2.062,-48.76,0.11,0.58,0.25,0.07,NONE,NORMAL
2.066,-62.96,0.11,0.58,0.25,0.07,NONE,NORMAL
2.07,-62.5,0.11,0.58,0.25,0.07,NONE,NORMAL
2.074,-71.82,0.11,0.58,0.25,0.07,NONE,NORMAL
2.078,-64.39,0.11,0.58,0.25,0.07,NONE,NORMAL
2.082,-69.03,0.11,0.58,0.25,0.07,NONE,NORMAL
2.086,-67.5,0.11,0.58,0.25,0.07,NONE,NORMAL
2.09,-64.3,0.11,0.58,0.25,0.07,NONE,NORMAL
2.094,-61.98,0.11,0.58,0.25,0.07,NONE,NORMAL
2.098,-49.67,0.11,0.58,0.25,0.07,NONE,NORMAL
2.102,-39.96,0.11,0.58,0.25,0.07,NONE,NORMAL
2.105,-45.94,0.11,0.58,0.25,0.07,NONE,NORMAL
2.109,-31.79,0.11,0.58,0.25,0.07,NONE,NORMAL
2.113,-20.02,0.11,0.58,0.25,0.07,NONE,NORMAL
2.117,-10.46,0.11,0.58,0.25,0.07,NONE,NORMAL
2.121,-0.82,0.11,0.58,0.25,0.07,NONE,NORMAL
2.125,6.96,0.11,0.58,0.25,0.07,NONE,NORMAL
2.129,22.24,0.11,0.58,0.25,0.07,NONE,NORMAL
2.133,27.55,0.11,0.58,0.25,0.07,NONE,NORMAL
2.137,26.86,0.11,0.58,0.25,0.07,NONE,NORMAL
2.141,38.62,0.11,0.58,0.25,0.07,NONE,NORMAL
2.145,38.81,0.11,0.58,0.25,0.07,NONE,NORMAL
2.148,43.15,0.11,0.58,0.25,0.07,NONE,NORMAL
2.152,53.32,0.11,0.58,0.25,0.07,NONE,NORMAL
2.156,45.99,0.11,0.58,0.25,0.07,NONE,NORMAL
2.16,41.41,0.11,0.58,0.25,0.07,NONE,NORMAL
2.164,39.81,0.11,0.58,0.25,0.07,NONE,NORMAL
2.168,29.94,0.11,0.58,0.25,0.07,NONE,NORMAL
2.172,23.32,0.11,0.58,0.25,0.07,NONE,NORMAL
2.176,23.12,0.11,0.58,0.25,0.07,NONE,NORMAL
2.18,20.18,0.11,0.58,0.25,0.07,NONE,NORMAL
2.184,14.19,0.11,0.58,0.25,0.07,NONE,NORMAL
2.188,11.46,0.11,0.58,0.25,0.07,NONE,NORMAL
2.191,2.7,0.11,0.58,0.25,0.07,NONE,NORMAL
2.195,6.9,0.11,0.58,0.25,0.07,NONE,NORMAL
2.199,0.8,0.11,0.58,0.25,0.07,NONE,NORMAL
2.203,7.19,0.11,0.58,0.25,0.07,NONE,NORMAL
2.207,6.61,0.11,0.58,0.25,0.07,NONE,NORMAL
2.211,-5.59,0.11,0.58,0.25,0.07,NONE,NORMAL
2.215,-7.99,0.11,0.58,0.25,0.07,NONE,NORMAL
2.219,-9.29,0.11,0.58,0.25,0.07,NONE,NORMAL
2.223,1.15,0.11,0.58,0.25,0.07,NONE,NORMAL
2.227,-4.53,0.11,0.58,0.25,0.07,NONE,NORMAL
2.23,-3.98,0.11,0.58,0.25,0.07,NONE,NORMAL
2.234,-11.35,0.11,0.58,0.25,0.07,NONE,NORMAL
2.238,-15.23,0.11,0.58,0.25,0.07,NONE,NORMAL
2.242,-17.56,0.11,0.58,0.25,0.07,NONE,NORMAL
2.246,-27.44,0.11,0.58,0.25,0.07,NONE,NORMAL
2.25,-28.34,0.11,0.58,0.25,0.07,NONE,NORMAL
2.254,-39.84,0.11,0.58,0.25,0.07,NONE,NORMAL
2.258,-29.1,0.11,0.58,0.25,0.07,NONE,NORMAL
2.262,-51.45,0.11,0.58,0.25,0.07,NONE,NORMAL
2.266,-47.59,0.11,0.58,0.25,0.07,NONE,NORMAL
2.27,-48.58,0.11,0.58,0.25,0.07,NONE,NORMAL
2.273,-43.07,0.11,0.58,0.25,0.07,NONE,NORMAL
2.277,-40.75,0.11,0.58,0.25,0.07,NONE,NORMAL
2.281,-37.67,0.11,0.58,0.25,0.07,NONE,NORMAL
2.285,-24.41,0.11,0.58,0.25,0.07,NONE,NORMAL
2.289,-16.53,0.11,0.58,0.25,0.07,NONE,NORMAL
2.293,-6.99,0.11,0.58,0.25,0.07,NONE,NORMAL
2.297,0.62,0.11,0.58,0.25,0.07,NONE,NORMAL
2.301,9.34,0.11,0.58,0.25,0.07,NONE,NORMAL
2.305,15.9,0.11,0.58,0.25,0.07,NONE,NORMAL
2.309,34.18,0.11,0.58,0.25,0.07,NONE,NORMAL
2.312,44.6,0.11,0.58,0.25,0.07,NONE,NORMAL
2.316,43.82,0.11,0.58,0.25,0.07,NONE,NORMAL
2.32,49.75,0.11,0.58,0.25,0.07,NONE,NORMAL
2.324,63.89,0.11,0.58,0.25,0.07,NONE,NORMAL
2.328,60.84,0.11,0.58,0.25,0.07,NONE,NORMAL
2.332,68.52,0.11,0.58,0.25,0.07,NONE,NORMAL
2.336,69.46,0.11,0.58,0.25,0.07,NONE,NORMAL
2.34,71.39,0.11,0.58,0.25,0.07,NONE,NORMAL
2.344,70.02,0.11,0.58,0.25,0.07,NONE,NORMAL
2.348,58.79,0.11,0.58,0.25,0.07,NONE,NORMAL
2.352,59.63,0.11,0.58,0.25,0.07,NONE,NORMAL
2.355,55.64,0.11,0.58,0.25,0.07,NONE,NORMAL
2.359,49.38,0.11,0.58,0.25,0.07,NONE,NORMAL
2.363,34.73,0.11,0.58,0.25,0.07,NONE,NORMAL
2.367,30.35,0.11,0.58,0.25,0.07,NONE,NORMAL
2.371,16.18,0.11,0.58,0.25,0.07,NONE,NORMAL
2.375,-1.35,0.11,0.58,0.25,0.07,NONE,NORMAL
2.379,-15.94,0.11,0.58,0.25,0.07,NONE,NORMAL
2.383,-14.79,0.11,0.58,0.25,0.07,NONE,NORMAL
2.387,-34.4,0.11,0.58,0.25,0.07,NONE,NORMAL
2.391,-44.61,0.11,0.58,0.25,0.07,NONE,NORMAL
2.395,-50.39,0.11,0.58,0.25,0.07,NONE,NORMAL
2.398,-63.15,0.11,0.58,0.25,0.07,NONE,NORMAL
2.402,-77.67,0.11,0.58,0.25,0.07,NONE,NORMAL
2.406,-94.06,0.11,0.58,0.25,0.07,NONE,NORMAL
2.41,-93.71,0.11,0.58,0.25,0.07,NONE,NORMAL
2.414,-100.14,0.11,0.58,0.25,0.07,NONE,NORMAL
2.418,-109.23,0.11,0.58,0.25,0.07,NONE,NORMAL
2.422,-97.7,0.11,0.58,0.25,0.07,NONE,NORMAL
2.426,-101.11,0.11,0.58,0.25,0.07,NONE,NORMAL
2.43,-99.06,0.11,0.58,0.25,0.07,NONE,NORMAL
2.434,-75.61,0.11,0.58,0.25,0.07,NONE,NORMAL
2.438,-72.14,0.11,0.58,0.25,0.07,NONE,NORMAL
2.441,-56.6,0.11,0.58,0.25,0.07,NONE,NORMAL
2.445,-45.77,0.11,0.58,0.25,0.07,NONE,NORMAL
2.449,-25.21,0.11,0.58,0.25,0.07,NONE,NORMAL
2.453,-0.01,0.11,0.58,0.25,0.07,NONE,NORMAL
2.457,12.87,0.11,0.58,0.25,0.07,NONE,NORMAL
2.461,38.96,0.11,0.58,0.25,0.07,NONE,NORMAL
2.465,50.68,0.11,0.58,0.25,0.07,NONE,NORMAL
2.469,56.07,0.11,0.58,0.25,0.07,NONE,NORMAL
2.473,87.86,0.11,0.58,0.25,0.07,NONE,NORMAL
2.477,91.1,0.11,0.58,0.25,0.07,NONE,NORMAL
2.48,95.89,0.11,0.58,0.25,0.07,NONE,NORMAL
2.484,96.7,0.11,0.58,0.25,0.07,NONE,NORMAL
2.488,100.39,0.11,0.58,0.25,0.07,NONE,NORMAL
2.492,100.53,0.11,0.58,0.25,0.07,NONE,NORMAL
2.496,95.64,0.11,0.58,0.25,0.07,NONE,NORMAL
2.5,96.98,0.11,0.58,0.25,0.07,NONE,NORMAL
2.504,88.93,0.11,0.58,0.25,0.07,NONE,NORMAL
2.508,75.42,0.11,0.58,0.25,0.07,NONE,NORMAL
2.512,71.88,0.11,0.58,0.25,0.07,NONE,NORMAL
2.516,48.98,0.11,0.58,0.25,0.07,NONE,NORMAL
2.52,37.27,0.11,0.58,0.25,0.07,NONE,NORMAL
2.523,23.33,0.11,0.58,0.25,0.07,NONE,NORMAL
2.527,11.58,0.11,0.58,0.25,0.07,NONE,NORMAL
2.531,1.75,0.11,0.58,0.25,0.07,NONE,NORMAL
2.535,-4.66,0.11,0.58,0.25,0.07,NONE,NORMAL
2.539,-18.23,0.11,0.58,0.25,0.07,NONE,NORMAL
2.543,-34.4,0.11,0.58,0.25,0.07,NONE,NORMAL
2.547,-37.34,0.11,0.58,0.25,0.07,NONE,NORMAL
2.551,-47.3,0.11,0.58,0.25,0.07,NONE,NORMAL
2.555,-53.02,0.11,0.58,0.25,0.07,NONE,NORMAL
2.559,-57.43,0.11,0.58,0.25,0.07,NONE,NORMAL
2.562,-64.6,0.11,0.58,0.25,0.07,NONE,NORMAL
2.566,-58.96,0.11,0.58,0.25,0.07,NONE,NORMAL
2.57,-65.98,0.11,0.58,0.25,0.07,NONE,NORMAL
2.574,-61.72,0.11,0.58,0.25,0.07,NONE,NORMAL
2.578,-70.17,0.11,0.58,0.25,0.07,NONE,NORMAL
2.582,-68.96,0.11,0.58,0.25,0.07,NONE,NORMAL
2.586,-58.07,0.11,0.58,0.25,0.07,NONE,NORMAL
2.59,-45.67,0.11,0.58,0.25,0.07,NONE,NORMAL
2.594,-40.13,0.11,0.58,0.25,0.07,NONE,NORMAL
2.598,-36.57,0.11,0.58,0.25,0.07,NONE,NORMAL
2.602,-30.87,0.11,0.58,0.25,0.07,NONE,NORMAL
2.605,-15.79,0.11,0.58,0.25,0.07,NONE,NORMAL
2.609,-4.24,0.11,0.58,0.25,0.07,NONE,NORMAL
2.613,-4.81,0.11,0.58,0.25,0.07,NONE,NORMAL
2.617,2.78,0.11,0.58,0.25,0.07,NONE,NORMAL
2.621,17.02,0.11,0.58,0.25,0.07,NONE,NORMAL
2.625,31.63,0.11,0.58,0.25,0.07,NONE,NORMAL
2.629,36.16,0.11,0.58,0.25,0.07,NONE,NORMAL
2.633,44.12,0.11,0.58,0.25,0.07,NONE,NORMAL
2.637,33.68,0.11,0.58,0.25,0.07,NONE,NORMAL
2.641,51.19,0.11,0.58,0.25,0.07,NONE,NORMAL
2.645,47.27,0.11,0.58,0.25,0.07,NONE,NORMAL
2.648,35.82,0.11,0.58,0.25,0.07,NONE,NORMAL
2.652,31.2,0.11,0.58,0.25,0.07,NONE,NORMAL
2.656,34.67,0.11,0.58,0.25,0.07,NONE,NORMAL
2.66,19.13,0.11,0.58,0.25,0.07,NONE,NORMAL
2.664,25.87,0.11,0.58,0.25,0.07,NONE,NORMAL
2.668,17.28,0.11,0.58,0.25,0.07,NONE,NORMAL
2.672,17.19,0.11,0.58,0.25,0.07,NONE,NORMAL
2.676,18.65,0.11,0.58,0.25,0.07,NONE,NORMAL
2.68,2.44,0.11,0.58,0.25,0.07,NONE,NORMAL
2.684,0.5,0.11,0.58,0.25,0.07,NONE,NORMAL
2.688,3.69,0.11,0.58,0.25,0.07,NONE,NORMAL
2.691,7.93,0.11,0.58,0.25,0.07,NONE,NORMAL
2.695,4.26,0.11,0.58,0.25,0.07,NONE,NORMAL
2.699,3.93,0.11,0.58,0.25,0.07,NONE,NORMAL
2.703,-1.99,0.11,0.58,0.25,0.07,NONE,NORMAL
2.707,-9.14,0.11,0.58,0.25,0.07,NONE,NORMAL
2.711,2.17,0.11,0.58,0.25,0.07,NONE,NORMAL
2.715,-0.46,0.11,0.58,0.25,0.07,NONE,NORMAL
2.719,-13.27,0.11,0.58,0.25,0.07,NONE,NORMAL
2.723,-12.48,0.11,0.58,0.25,0.07,NONE,NORMAL
2.727,-20.83,0.11,0.58,0.25,0.07,NONE,NORMAL
2.73,-15.84,0.11,0.58,0.25,0.07,NONE,NORMAL
2.734,-27.68,0.11,0.58,0.25,0.07,NONE,NORMAL
2.738,-30.42,0.11,0.58,0.25,0.07,NONE,NORMAL
2.742,-23.7,0.11,0.58,0.25,0.07,NONE,NORMAL
2.746,-26.49,0.11,0.58,0.25,0.07,NONE,NORMAL
2.75,-46.38,0.11,0.58,0.25,0.07,NONE,NORMAL
2.754,-38.81,0.11,0.58,0.25,0.07,NONE,NORMAL
2.758,-41.05,0.11,0.58,0.25,0.07,NONE,NORMAL
2.762,-41.4,0.11,0.58,0.25,0.07,NONE,NORMAL
2.766,-40.11,0.11,0.58,0.25,0.07,NONE,NORMAL
2.77,-32.48,0.11,0.58,0.25,0.07,NONE,NORMAL
2.773,-27.39,0.11,0.58,0.25,0.07,NONE,NORMAL
2.777,-20.27,0.11,0.58,0.25,0.07,NONE,NORMAL
2.781,-17.0,0.11,0.58,0.25,0.07,NONE,NORMAL
2.785,-10.15,0.11,0.58,0.25,0.07,NONE,NORMAL
2.789,1.26,0.11,0.58,0.25,0.07,NONE,NORMAL
2.793,11.45,0.11,0.58,0.25,0.07,NONE,NORMAL
2.797,23.57,0.11,0.58,0.25,0.07,NONE,NORMAL
2.801,27.73,0.11,0.58,0.25,0.07,NONE,NORMAL
2.805,45.9,0.11,0.58,0.25,0.07,NONE,NORMAL
2.809,50.94,0.11,0.58,0.25,0.07,NONE,NORMAL
2.812,50.23,0.11,0.58,0.25,0.07,NONE,NORMAL
2.816,68.32,0.11,0.58,0.25,0.07,NONE,NORMAL
2.82,69.66,0.11,0.58,0.25,0.07,NONE,NORMAL
2.824,73.74,0.11,0.58,0.25,0.07,NONE,NORMAL
2.828,69.48,0.11,0.58,0.25,0.07,NONE,NORMAL
2.832,63.48,0.11,0.58,0.25,0.07,NONE,NORMAL
2.836,54.53,0.11,0.58,0.25,0.07,NONE,NORMAL
2.84,60.31,0.11,0.58,0.25,0.07,NONE,NORMAL
2.844,64.57,0.11,0.58,0.25,0.07,NONE,NORMAL
2.848,57.1,0.11,0.58,0.25,0.07,NONE,NORMAL
2.852,47.18,0.11,0.58,0.25,0.07,NONE,NORMAL
2.855,34.58,0.11,0.58,0.25,0.07,NONE,NORMAL
2.859,21.1,0.11,0.58,0.25,0.07,NONE,NORMAL
2.863,5.35,0.11,0.58,0.25,0.07,NONE,NORMAL
2.867,2.39,0.11,0.58,0.25,0.07,NONE,NORMAL
2.871,-8.31,0.11,0.58,0.25,0.07,NONE,NORMAL
2.875,-19.33,0.11,0.58,0.25,0.07,NONE,NORMAL
2.879,-39.79,0.11,0.58,0.25,0.07,NONE,NORMAL
2.883,-43.43,0.11,0.58,0.25,0.07,NONE,NORMAL
2.887,-56.04,0.11,0.58,0.25,0.07,NONE,NORMAL
2.891,-77.06,0.11,0.58,0.25,0.07,NONE,NORMAL
2.895,-66.61,0.11,0.58,0.25,0.07,NONE,NORMAL
2.898,-88.31,0.11,0.58,0.25,0.07,NONE,NORMAL
2.902,-93.24,0.11,0.58,0.25,0.07,NONE,NORMAL
2.906,-100.86,0.11,0.58,0.25,0.07,NONE,NORMAL
2.91,-102.87,0.11,0.58,0.25,0.07,NONE,NORMAL
2.914,-96.35,0.11,0.58,0.25,0.07,NONE,NORMAL
2.918,-96.96,0.11,0.58,0.25,0.07,NONE,NORMAL
2.922,-90.87,0.11,0.58,0.25,0.07,NONE,NORMAL
2.926,-83.88,0.11,0.58,0.25,0.07,NONE,NORMAL
2.93,-69.72,0.11,0.58,0.25,0.07,NONE,NORMAL
2.934,-54.02,0.11,0.58,0.25,0.07,NONE,NORMAL
2.938,-27.52,0.11,0.58,0.25,0.07,NONE,NORMAL
2.941,-19.65,0.11,0.58,0.25,0.07,NONE,NORMAL
2.945,-1.59,0.11,0.58,0.25,0.07,NONE,NORMAL
2.949,27.41,0.11,0.58,0.25,0.07,NONE,NORMAL
2.953,30.85,0.11,0.58,0.25,0.07,NONE,NORMAL
2.957,50.21,0.11,0.58,0.25,0.07,NONE,NORMAL
2.961,68.8,0.11,0.58,0.25,0.07,NONE,NORMAL
2.965,83.49,0.11,0.58,0.25,0.07,NONE,NORMAL
2.969,91.81,0.11,0.58,0.25,0.07,NONE,NORMAL
2.973,103.38,0.11,0.58,0.25,0.07,NONE,NORMAL
2.977,103.31,0.11,0.58,0.25,0.07,NONE,NORMAL
2.98,90.99,0.11,0.58,0.25,0.07,NONE,NORMAL
2.984,103.52,0.11,0.58,0.25,0.07,NONE,NORMAL
2.988,107.14,0.11,0.58,0.25,0.07,NONE,NORMAL
2.992,92.74,0.11,0.58,0.25,0.07,NONE,NORMAL
2.996,82.54,0.11,0.58,0.25,0.07,NONE,NORMAL
3.0,80.09,0.11,0.58,0.25,0.07,NONE,NORMAL
3.004,69.55,0.11,0.58,0.25,0.07,NONE,NORMAL
3.008,50.4,0.11,0.58,0.25,0.07,NONE,NORMAL
3.012,36.54,0.11,0.58,0.25,0.07,NONE,NORMAL
3.016,22.67,0.11,0.58,0.25,0.07,NONE,NORMAL
3.02,5.39,0.11,0.58,0.25,0.07,NONE,NORMAL
3.023,-1.64,0.11,0.58,0.25,0.07,NONE,NORMAL
3.027,-21.67,0.11,0.58,0.25,0.07,NONE,NORMAL
3.031,-20.2,0.11,0.58,0.25,0.07,NONE,NORMAL
3.035,-35.26,0.11,0.58,0.25,0.07,NONE,NORMAL
3.039,-45.94,0.11,0.58,0.25,0.07,NONE,NORMAL
3.043,-46.2,0.11,0.58,0.25,0.07,NONE,NORMAL
3.047,-60.08,0.11,0.58,0.25,0.07,NONE,NORMAL
3.051,-59.7,0.11,0.58,0.25,0.07,NONE,NORMAL
3.055,-66.49,0.11,0.58,0.25,0.07,NONE,NORMAL
3.059,-59.37,0.11,0.58,0.25,0.07,NONE,NORMAL
3.062,-64.97,0.11,0.58,0.25,0.07,NONE,NORMAL
3.066,-62.01,0.11,0.58,0.25,0.07,NONE,NORMAL
3.07,-62.55,0.11,0.58,0.25,0.07,NONE,NORMAL
3.074,-58.24,0.11,0.58,0.25,0.07,NONE,NORMAL
3.078,-52.55,0.11,0.58,0.25,0.07,NONE,NORMAL
3.082,-47.23,0.11,0.58,0.25,0.07,NONE,NORMAL
3.086,-37.33,0.11,0.58,0.25,0.07,NONE,NORMAL
3.09,-31.28,0.11,0.58,0.25,0.07,NONE,NORMAL
3.094,-24.25,0.11,0.58,0.25,0.07,NONE,NORMAL
3.098,-8.92,0.11,0.58,0.25,0.07,NONE,NORMAL
3.102,-9.09,0.11,0.58,0.25,0.07,NONE,NORMAL
3.105,4.04,0.11,0.58,0.25,0.07,NONE,NORMAL
3.109,8.7,0.11,0.58,0.25,0.07,NONE,NORMAL
3.113,20.97,0.11,0.58,0.25,0.07,NONE,NORMAL
3.117,27.47,0.11,0.58,0.25,0.07,NONE,NORMAL
3.121,31.42,0.11,0.58,0.25,0.07,NONE,NORMAL
3.125,34.19,0.11,0.58,0.25,0.07,NONE,NORMAL
3.129,44.35,0.11,0.58,0.25,0.07,NONE,NORMAL
3.133,47.86,0.11,0.58,0.25,0.07,NONE,NORMAL
3.137,46.77,0.11,0.58,0.25,0.07,NONE,NORMAL
3.141,35.37,0.11,0.58,0.25,0.07,NONE,NORMAL
3.145,36.74,0.11,0.58,0.25,0.07,NONE,NORMAL
3.148,32.24,0.11,0.58,0.25,0.07,NONE,NORMAL
