time,amplitude,theta_power,alpha_power,beta_power,gamma_power,command,motor_impairment
1.574,-59.56,0.1,0.3,0.51,0.09,NONE,NORMAL
1.578,-63.11,0.1,0.3,0.51,0.09,NONE,NORMAL
1.582,-54.54,0.1,0.3,0.51,0.09,NONE,NORMAL
1.586,-53.03,0.1,0.3,0.51,0.09,NONE,NORMAL
1.59,-45.51,0.1,0.3,0.51,0.09,NONE,NORMAL
1.594,-28.59,0.1,0.3,0.51,0.09,NONE,NORMAL
1.598,-24.96,0.1,0.3,0.51,0.09,NONE,NORMAL
1.602,-28.25,0.1,0.3,0.51,0.09,NONE,NORMAL
1.605,-6.54,0.1,0.3,0.51,0.09,NONE,NORMAL
1.609,-1.11,0.1,0.3,0.51,0.09,NONE,NORMAL
1.613,0.57,0.1,0.3,0.51,0.09,NONE,NORMAL
1.617,14.37,0.1,0.3,0.51,0.09,NONE,NORMAL
1.621,20.42,0.1,0.3,0.51,0.09,NONE,NORMAL
1.625,22.67,0.1,0.3,0.51,0.09,NONE,NORMAL
1.629,36.13,0.1,0.3,0.51,0.09,NONE,NORMAL
1.633,31.67,0.1,0.3,0.51,0.09,NONE,NORMAL
1.637,33.4,0.1,0.3,0.51,0.09,NONE,NORMAL
1.641,39.04,0.1,0.3,0.51,0.09,NONE,NORMAL
1.645,40.37,0.1,0.3,0.51,0.09,NONE,NORMAL
1.648,40.49,0.1,0.3,0.51,0.09,NONE,NORMAL
1.652,36.17,0.1,0.3,0.51,0.09,NONE,NORMAL
1.656,20.96,0.1,0.3,0.51,0.09,NONE,NORMAL
1.66,18.19,0.1,0.3,0.51,0.09,NONE,NORMAL
1.664,10.57,0.1,0.3,0.51,0.09,NONE,NORMAL
1.668,-9.39,0.1,0.3,0.51,0.09,NONE,NORMAL
1.672,-18.15,0.1,0.3,0.51,0.09,NONE,NORMAL
1.676,-28.16,0.1,0.3,0.51,0.09,NONE,NORMAL
1.68,-30.32,0.1,0.3,0.51,0.09,NONE,NORMAL
1.684,-32.95,0.1,0.3,0.51,0.09,NONE,NORMAL
1.688,-43.15,0.1,0.3,0.51,0.09,NONE,NORMAL
1.691,-37.11,0.1,0.3,0.51,0.09,NONE,NORMAL
1.695,-53.09,0.1,0.3,0.51,0.09,NONE,NORMAL
1.699,-45.79,0.1,0.3,0.51,0.09,NONE,NORMAL
1.703,-34.99,0.1,0.3,0.51,0.09,NONE,NORMAL
1.707,-21.03,0.1,0.3,0.51,0.09,NONE,NORMAL
1.711,-26.27,0.1,0.3,0.51,0.09,NONE,NORMAL
1.715,-8.97,0.1,0.3,0.51,0.09,NONE,NORMAL
1.719,3.55,0.1,0.3,0.51,0.09,NONE,NORMAL
1.723,10.72,0.1,0.3,0.51,0.09,NONE,NORMAL
1.727,22.05,0.1,0.3,0.51,0.09,NONE,NORMAL
1.73,27.64,0.1,0.3,0.51,0.09,NONE,NORMAL
1.734,29.28,0.1,0.3,0.51,0.09,NONE,NORMAL
1.738,33.08,0.1,0.3,0.51,0.09,NONE,NORMAL
1.742,42.79,0.1,0.3,0.51,0.09,NONE,NORMAL
1.746,37.14,0.1,0.3,0.51,0.09,NONE,NORMAL
1.75,41.49,0.1,0.3,0.51,0.09,NONE,NORMAL
1.754,33.66,0.1,0.3,0.51,0.09,NONE,NORMAL
1.758,31.49,0.1,0.3,0.51,0.09,NONE,NORMAL
1.762,24.35,0.1,0.3,0.51,0.09,NONE,NORMAL
1.766,8.36,0.1,0.3,0.51,0.09,NONE,NORMAL
1.77,1.41,0.1,0.3,0.51,0.09,NONE,NORMAL
1.773,-17.93,0.1,0.3,0.51,0.09,NONE,NORMAL
1.777,-16.1,0.1,0.3,0.51,0.09,NONE,NORMAL
1.781,-26.83,0.1,0.3,0.51,0.09,NONE,NORMAL
1.785,-29.78,0.1,0.3,0.51,0.09,NONE,NORMAL
1.789,-29.05,0.1,0.3,0.51,0.09,NONE,NORMAL
1.793,-35.02,0.1,0.3,0.51,0.09,NONE,NORMAL
1.797,-34.42,0.1,0.3,0.51,0.09,NONE,NORMAL
1.801,-53.55,0.1,0.3,0.51,0.09,NONE,NORMAL
1.805,-21.68,0.1,0.3,0.51,0.09,NONE,NORMAL
1.809,-36.5,0.1,0.3,0.51,0.09,NONE,NORMAL
1.812,-20.53,0.1,0.3,0.51,0.09,NONE,NORMAL
1.816,-16.97,0.1,0.3,0.51,0.09,NONE,NORMAL
1.82,-19.5,0.1,0.3,0.51,0.09,NONE,NORMAL
1.824,-7.66,0.1,0.3,0.51,0.09,NONE,NORMAL
1.828,10.46,0.1,0.3,0.51,0.09,NONE,NORMAL
1.832,26.78,0.1,0.3,0.51,0.09,NONE,NORMAL
1.836,22.82,0.1,0.3,0.51,0.09,NONE,NORMAL
1.84,31.9,0.1,0.3,0.51,0.09,NONE,NORMAL
1.844,42.31,0.1,0.3,0.51,0.09,NONE,NORMAL
1.848,53.5,0.1,0.3,0.51,0.09,NONE,NORMAL
1.852,58.34,0.1,0.3,0.51,0.09,NONE,NORMAL
1.855,60.06,0.1,0.3,0.51,0.09,NONE,NORMAL
1.859,55.88,0.1,0.3,0.51,0.09,NONE,NORMAL
1.863,67.29,0.1,0.3,0.51,0.09,NONE,NORMAL
1.867,56.97,0.1,0.3,0.51,0.09,NONE,NORMAL
1.871,58.72,0.1,0.3,0.51,0.09,NONE,NORMAL
1.875,55.65,0.1,0.3,0.51,0.09,NONE,NORMAL
1.879,48.63,0.1,0.3,0.51,0.09,NONE,NORMAL
1.883,35.92,0.1,0.3,0.51,0.09,NONE,NORMAL
1.887,30.16,0.1,0.3,0.51,0.09,NONE,NORMAL
1.891,25.47,0.1,0.3,0.51,0.09,NONE,NORMAL
1.895,-4.61,0.1,0.3,0.51,0.09,NONE,NORMAL
1.898,-18.44,0.1,0.3,0.51,0.09,NONE,NORMAL
1.902,-29.38,0.1,0.3,0.51,0.09,NONE,NORMAL
1.906,-44.11,0.1,0.3,0.51,0.09,NONE,NORMAL
1.91,-56.53,0.1,0.3,0.51,0.09,NONE,NORMAL
1.914,-72.29,0.1,0.3,0.51,0.09,NONE,NORMAL
1.918,-76.04,0.1,0.3,0.51,0.09,NONE,NORMAL
1.922,-93.32,0.1,0.3,0.51,0.09,NONE,NORMAL
1.926,-104.83,0.1,0.3,0.51,0.09,NONE,NORMAL
1.93,-102.33,0.1,0.3,0.51,0.09,NONE,NORMAL
1.934,-111.1,0.1,0.3,0.51,0.09,NONE,NORMAL
1.938,-103.01,0.1,0.3,0.51,0.09,NONE,NORMAL
1.941,-100.12,0.1,0.3,0.51,0.09,NONE,NORMAL
1.945,-87.55,0.1,0.3,0.51,0.09,NONE,NORMAL
1.949,-69.04,0.1,0.3,0.51,0.09,NONE,NORMAL
1.953,-52.28,0.1,0.3,0.51,0.09,NONE,NORMAL
1.957,-36.54,0.1,0.3,0.51,0.09,NONE,NORMAL
1.961,-8.52,0.1,0.3,0.51,0.09,NONE,NORMAL
1.965,0.7,0.1,0.3,0.51,0.09,NONE,NORMAL
1.969,33.21,0.1,0.3,0.51,0.09,NONE,NORMAL
1.973,54.55,0.1,0.3,0.51,0.09,NONE,NORMAL
1.977,55.01,0.1,0.3,0.51,0.09,NONE,NORMAL
1.98,73.99,0.1,0.3,0.51,0.09,NONE,NORMAL
1.984,88.94,0.1,0.3,0.51,0.09,NONE,NORMAL
1.988,107.81,0.1,0.3,0.51,0.09,NONE,NORMAL
1.992,114.86,0.1,0.3,0.51,0.09,NONE,NORMAL
1.996,110.3,0.1,0.3,0.51,0.09,NONE,NORMAL
2.0,96.48,0.14,0.35,0.41,0.11,NONE,NORMAL
2.004,92.74,0.14,0.35,0.41,0.11,NONE,NORMAL
2.008,81.45,0.14,0.35,0.41,0.11,NONE,NORMAL
2.012,72.12,0.14,0.35,0.41,0.11,NONE,NORMAL
2.016,55.86,0.14,0.35,0.41,0.11,NONE,NORMAL
2.02,42.23,0.14,0.35,0.41,0.11,NONE,NORMAL
2.023,36.79,0.14,0.35,0.41,0.11,NONE,NORMAL
2.027,28.72,0.14,0.35,0.41,0.11,NONE,NORMAL
2.031,7.18,0.14,0.35,0.41,0.11,NONE,NORMAL
2.035,4.65,0.14,0.35,0.41,0.11,NONE,NORMAL
2.039,-7.88,0.14,0.35,0.41,0.11,NONE,NORMAL
2.043,-28.6,0.14,0.35,0.41,0.11,NONE,NORMAL
2.047,-31.38,0.14,0.35,0.41,0.11,NONE,NORMAL
2.051,-40.69,0.14,0.35,0.41,0.11,NONE,NORMAL
2.055,-34.46,0.14,0.35,0.41,0.11,NONE,NORMAL
2.059,-49.01,0.14,0.35,0.41,0.11,NONE,NORMAL
2.062,-44.99,0.14,0.35,0.41,0.11,NONE,NORMAL
2.066,-49.08,0.14,0.35,0.41,0.11,NONE,NORMAL
2.07,-36.09,0.14,0.35,0.41,0.11,NONE,NORMAL
2.074,-51.88,0.14,0.35,0.41,0.11,NONE,NORMAL
2.078,-45.06,0.14,0.35,0.41,0.11,NONE,NORMAL
2.082,-45.78,0.14,0.35,0.41,0.11,NONE,NORMAL
2.086,-27.44,0.14,0.35,0.41,0.11,NONE,NORMAL
2.09,-34.78,0.14,0.35,0.41,0.11,NONE,NORMAL
2.094,-31.33,0.14,0.35,0.41,0.11,NONE,NORMAL
2.098,-15.12,0.14,0.35,0.41,0.11,NONE,NORMAL
2.102,-23.48,0.14,0.35,0.41,0.11,NONE,NORMAL
2.105,-13.96,0.14,0.35,0.41,0.11,NONE,NORMAL
2.109,0.94,0.14,0.35,0.41,0.11,NONE,NORMAL
2.113,15.39,0.14,0.35,0.41,0.11,NONE,NORMAL
2.117,19.23,0.14,0.35,0.41,0.11,NONE,NORMAL
2.121,19.17,0.14,0.35,0.41,0.11,NONE,NORMAL
2.125,24.97,0.14,0.35,0.41,0.11,NONE,NORMAL
2.129,22.63,0.14,0.35,0.41,0.11,NONE,NORMAL
2.133,29.68,0.14,0.35,0.41,0.11,NONE,NORMAL
2.137,20.03,0.14,0.35,0.41,0.11,NONE,NORMAL
2.141,33.78,0.14,0.35,0.41,0.11,NONE,NORMAL
2.145,32.17,0.14,0.35,0.41,0.11,NONE,NORMAL
2.148,8.55,0.14,0.35,0.41,0.11,NONE,NORMAL
2.152,18.02,0.14,0.35,0.41,0.11,NONE,NORMAL
2.156,8.2,0.14,0.35,0.41,0.11,NONE,NORMAL
2.16,-5.33,0.14,0.35,0.41,0.11,NONE,NORMAL
2.164,-10.43,0.14,0.35,0.41,0.11,NONE,NORMAL
2.168,-14.73,0.14,0.35,0.41,0.11,NONE,NORMAL
2.172,-22.66,0.14,0.35,0.41,0.11,NONE,NORMAL
2.176,-24.64,0.14,0.35,0.41,0.11,NONE,NORMAL
2.18,-29.28,0.14,0.35,0.41,0.11,NONE,NORMAL
2.184,-29.05,0.14,0.35,0.41,0.11,NONE,NORMAL
2.188,-33.71,0.14,0.35,0.41,0.11,NONE,NORMAL
2.191,-37.73,0.14,0.35,0.41,0.11,NONE,NORMAL
2.195,-28.42,0.14,0.35,0.41,0.11,NONE,NORMAL
2.199,-19.86,0.14,0.35,0.41,0.11,NONE,NORMAL
2.203,-15.0,0.14,0.35,0.41,0.11,NONE,NORMAL
2.207,1.22,0.14,0.35,0.41,0.11,NONE,NORMAL
2.211,3.16,0.14,0.35,0.41,0.11,NONE,NORMAL
2.215,9.98,0.14,0.35,0.41,0.11,NONE,NORMAL
2.219,14.61,0.14,0.35,0.41,0.11,NONE,NORMAL
2.223,31.37,0.14,0.35,0.41,0.11,NONE,NORMAL
2.227,36.15,0.14,0.35,0.41,0.11,NONE,NORMAL
2.23,31.51,0.14,0.35,0.41,0.11,NONE,NORMAL
2.234,36.27,0.14,0.35,0.41,0.11,NONE,NORMAL
2.238,24.23,0.14,0.35,0.41,0.11,NONE,NORMAL
2.242,32.31,0.14,0.35,0.41,0.11,NONE,NORMAL
2.246,13.77,0.14,0.35,0.41,0.11,NONE,NORMAL
2.25,15.57,0.14,0.35,0.41,0.11,NONE,NORMAL
2.254,3.09,0.14,0.35,0.41,0.11,NONE,NORMAL
2.258,3.0,0.14,0.35,0.41,0.11,NONE,NORMAL
2.262,-18.66,0.14,0.35,0.41,0.11,NONE,NORMAL
2.266,-20.31,0.14,0.35,0.41,0.11,NONE,NORMAL
2.27,-16.96,0.14,0.35,0.41,0.11,NONE,NORMAL
2.273,-23.95,0.14,0.35,0.41,0.11,NONE,NORMAL
2.277,-29.09,0.14,0.35,0.41,0.11,NONE,NORMAL
2.281,-26.42,0.14,0.35,0.41,0.11,NONE,NORMAL
2.285,-29.15,0.14,0.35,0.41,0.11,NONE,NORMAL
2.289,-32.0,0.14,0.35,0.41,0.11,NONE,NORMAL
2.293,-31.06,0.14,0.35,0.41,0.11,NONE,NORMAL
2.297,-16.42,0.14,0.35,0.41,0.11,NONE,NORMAL
2.301,-6.82,0.14,0.35,0.41,0.11,NONE,NORMAL
2.305,2.13,0.14,0.35,0.41,0.11,NONE,NORMAL
2.309,0.53,0.14,0.35,0.41,0.11,NONE,NORMAL
2.312,11.26,0.14,0.35,0.41,0.11,NONE,NORMAL
2.316,19.56,0.14,0.35,0.41,0.11,NONE,NORMAL
2.32,24.23,0.14,0.35,0.41,0.11,NONE,NORMAL
2.324,24.25,0.14,0.35,0.41,0.11,NONE,NORMAL
2.328,38.49,0.14,0.35,0.41,0.11,NONE,NORMAL
2.332,40.68,0.14,0.35,0.41,0.11,NONE,NORMAL
2.336,36.44,0.14,0.35,0.41,0.11,NONE,NORMAL
2.34,45.35,0.14,0.35,0.41,0.11,NONE,NORMAL
2.344,48.33,0.14,0.35,0.41,0.11,NONE,NORMAL
2.348,49.89,0.14,0.35,0.41,0.11,NONE,NORMAL
2.352,49.53,0.14,0.35,0.41,0.11,NONE,NORMAL
2.355,46.04,0.14,0.35,0.41,0.11,NONE,NORMAL
2.359,41.96,0.14,0.35,0.41,0.11,NONE,NORMAL
2.363,49.55,0.14,0.35,0.41,0.11,NONE,NORMAL
2.367,28.04,0.14,0.35,0.41,0.11,NONE,NORMAL
2.371,27.47,0.14,0.35,0.41,0.11,NONE,NORMAL
2.375,19.82,0.14,0.35,0.41,0.11,NONE,NORMAL
2.379,20.46,0.14,0.35,0.41,0.11,NONE,NORMAL
2.383,7.15,0.14,0.35,0.41,0.11,NONE,NORMAL
2.387,-10.21,0.14,0.35,0.41,0.11,NONE,NORMAL
2.391,-21.68,0.14,0.35,0.41,0.11,NONE,NORMAL
2.395,-31.72,0.14,0.35,0.41,0.11,NONE,NORMAL
2.398,-52.19,0.14,0.35,0.41,0.11,NONE,NORMAL
2.402,-65.01,0.14,0.35,0.41,0.11,NONE,NORMAL
2.406,-72.87,0.14,0.35,0.41,0.11,NONE,NORMAL
2.41,-81.81,0.14,0.35,0.41,0.11,NONE,NORMAL
2.414,-96.55,0.14,0.35,0.41,0.11,NONE,NORMAL
2.418,-91.13,0.14,0.35,0.41,0.11,NONE,NORMAL
2.422,-97.95,0.14,0.35,0.41,0.11,NONE,NORMAL
2.426,-92.46,0.14,0.35,0.41,0.11,NONE,NORMAL
2.43,-93.73,0.14,0.35,0.41,0.11,NONE,NORMAL
2.434,-95.21,0.14,0.35,0.41,0.11,NONE,NORMAL
2.438,-71.08,0.14,0.35,0.41,0.11,NONE,NORMAL
2.441,-63.78,0.14,0.35,0.41,0.11,NONE,NORMAL
2.445,-45.83,0.14,0.35,0.41,0.11,NONE,NORMAL
2.449,-22.29,0.14,0.35,0.41,0.11,NONE,NORMAL
2.453,-8.63,0.14,0.35,0.41,0.11,NONE,NORMAL
2.457,18.49,0.14,0.35,0.41,0.11,NONE,NORMAL
2.461,33.62,0.14,0.35,0.41,0.11,NONE,NORMAL
2.465,46.37,0.14,0.35,0.41,0.11,NONE,NORMAL
2.469,60.01,0.14,0.35,0.41,0.11,NONE,NORMAL
2.473,71.43,0.14,0.35,0.41,0.11,NONE,NORMAL
2.477,95.38,0.14,0.35,0.41,0.11,NONE,NORMAL
2.48,108.49,0.14,0.35,0.41,0.11,NONE,NORMAL
2.484,100.62,0.14,0.35,0.41,0.11,NONE,NORMAL
2.488,96.98,0.14,0.35,0.41,0.11,NONE,NORMAL
2.492,102.78,0.14,0.35,0.41,0.11,NONE,NORMAL
2.496,87.85,0.14,0.35,0.41,0.11,NONE,NORMAL
2.5,78.28,0.14,0.35,0.41,0.11,NONE,NORMAL
2.504,66.84,0.14,0.35,0.41,0.11,NONE,NORMAL
2.508,63.55,0.14,0.35,0.41,0.11,NONE,NORMAL
2.512,42.76,0.14,0.35,0.41,0.11,NONE,NORMAL
2.516,39.32,0.14,0.35,0.41,0.11,NONE,NORMAL
2.52,16.74,0.14,0.35,0.41,0.11,NONE,NORMAL
2.523,12.23,0.14,0.35,0.41,0.11,NONE,NORMAL
2.527,-1.85,0.14,0.35,0.41,0.11,NONE,NORMAL
2.531,-15.83,0.14,0.35,0.41,0.11,NONE,NORMAL
2.535,-30.52,0.14,0.35,0.41,0.11,NONE,NORMAL
2.539,-28.33,0.14,0.35,0.41,0.11,NONE,NORMAL
2.543,-36.39,0.14,0.35,0.41,0.11,NONE,NORMAL
2.547,-40.15,0.14,0.35,0.41,0.11,NONE,NORMAL
2.551,-43.03,0.14,0.35,0.41,0.11,NONE,NORMAL
2.555,-47.2,0.14,0.35,0.41,0.11,NONE,NORMAL
2.559,-37.71,0.14,0.35,0.41,0.11,NONE,NORMAL
2.562,-44.12,0.14,0.35,0.41,0.11,NONE,NORMAL
2.566,-44.26,0.14,0.35,0.41,0.11,NONE,NORMAL
2.57,-40.01,0.14,0.35,0.41,0.11,NONE,NORMAL
2.574,-37.65,0.14,0.35,0.41,0.11,NONE,NORMAL
2.578,-30.64,0.14,0.35,0.41,0.11,NONE,NORMAL
2.582,-37.87,0.14,0.35,0.41,0.11,NONE,NORMAL
2.586,-23.73,0.14,0.35,0.41,0.11,NONE,NORMAL
2.59,-21.78,0.14,0.35,0.41,0.11,NONE,NORMAL
2.594,-14.46,0.14,0.35,0.41,0.11,NONE,NORMAL
2.598,-17.53,0.14,0.35,0.41,0.11,NONE,NORMAL
2.602,-1.78,0.14,0.35,0.41,0.11,NONE,NORMAL
2.605,16.82,0.14,0.35,0.41,0.11,NONE,NORMAL
2.609,21.53,0.14,0.35,0.41,0.11,NONE,NORMAL
2.613,25.29,0.14,0.35,0.41,0.11,NONE,NORMAL
2.617,27.32,0.14,0.35,0.41,0.11,NONE,NORMAL
2.621,40.05,0.14,0.35,0.41,0.11,NONE,NORMAL
2.625,27.22,0.14,0.35,0.41,0.11,NONE,NORMAL
2.629,38.01,0.14,0.35,0.41,0.11,NONE,NORMAL
2.633,24.94,0.14,0.35,0.41,0.11,NONE,NORMAL
2.637,28.34,0.14,0.35,0.41,0.11,NONE,NORMAL
2.641,23.3,0.14,0.35,0.41,0.11,NONE,NORMAL
2.645,14.79,0.14,0.35,0.41,0.11,NONE,NORMAL
2.648,3.53,0.14,0.35,0.41,0.11,NONE,NORMAL
2.652,1.67,0.14,0.35,0.41,0.11,NONE,NORMAL
2.656,-9.17,0.14,0.35,0.41,0.11,NONE,NORMAL
2.66,-8.85,0.14,0.35,0.41,0.11,NONE,NORMAL
2.664,-24.57,0.14,0.35,0.41,0.11,NONE,NORMAL
2.668,-26.92,0.14,0.35,0.41,0.11,NONE,NORMAL
2.672,-27.48,0.14,0.35,0.41,0.11,NONE,NORMAL
2.676,-32.85,0.14,0.35,0.41,0.11,NONE,NORMAL
2.68,-24.3,0.14,0.35,0.41,0.11,NONE,NORMAL
2.684,-28.51,0.14,0.35,0.41,0.11,NONE,NORMAL
2.688,-25.88,0.14,0.35,0.41,0.11,NONE,NORMAL
2.691,-16.87,0.14,0.35,0.41,0.11,NONE,NORMAL
2.695,-5.41,0.14,0.35,0.41,0.11,NONE,NORMAL
2.699,-4.27,0.14,0.35,0.41,0.11,NONE,NORMAL
2.703,12.26,0.14,0.35,0.41,0.11,NONE,NORMAL
2.707,5.6,0.14,0.35,0.41,0.11,NONE,NORMAL
2.711,23.02,0.14,0.35,0.41,0.11,NONE,NORMAL
2.715,26.06,0.14,0.35,0.41,0.11,NONE,NORMAL
2.719,32.19,0.14,0.35,0.41,0.11,NONE,NORMAL
2.723,27.98,0.14,0.35,0.41,0.11,NONE,NORMAL
2.727,29.88,0.14,0.35,0.41,0.11,NONE,NORMAL
2.73,30.35,0.14,0.35,0.41,0.11,NONE,NORMAL
2.734,28.38,0.14,0.35,0.41,0.11,NONE,NORMAL
2.738,19.91,0.14,0.35,0.41,0.11,NONE,NORMAL
2.742,10.5,0.14,0.35,0.41,0.11,NONE,NORMAL
2.746,4.76,0.14,0.35,0.41,0.11,NONE,NORMAL
2.75,-8.28,0.14,0.35,0.41,0.11,NONE,NORMAL
2.754,-15.12,0.14,0.35,0.41,0.11,NONE,NORMAL
2.758,-19.95,0.14,0.35,0.41,0.11,NONE,NORMAL
2.762,-27.42,0.14,0.35,0.41,0.11,NONE,NORMAL
2.766,-30.71,0.14,0.35,0.41,0.11,NONE,NORMAL
2.77,-33.08,0.14,0.35,0.41,0.11,NONE,NORMAL
2.773,-18.23,0.14,0.35,0.41,0.11,NONE,NORMAL
2.777,-23.89,0.14,0.35,0.41,0.11,NONE,NORMAL
2.781,-18.95,0.14,0.35,0.41,0.11,NONE,NORMAL
2.785,-16.92,0.14,0.35,0.41,0.11,NONE,NORMAL
2.789,-8.11,0.14,0.35,0.41,0.11,NONE,NORMAL
2.793,5.86,0.14,0.35,0.41,0.11,NONE,NORMAL
2.797,-11.49,0.14,0.35,0.41,0.11,NONE,NORMAL
2.801,1.12,0.14,0.35,0.41,0.11,NONE,NORMAL
2.805,14.21,0.14,0.35,0.41,0.11,NONE,NORMAL
2.809,20.78,0.14,0.35,0.41,0.11,NONE,NORMAL
2.812,17.65,0.14,0.35,0.41,0.11,NONE,NORMAL
2.816,26.02,0.14,0.35,0.41,0.11,NONE,NORMAL
2.82,38.39,0.14,0.35,0.41,0.11,NONE,NORMAL
2.824,36.5,0.14,0.35,0.41,0.11,NONE,NORMAL
2.828,40.46,0.14,0.35,0.41,0.11,NONE,NORMAL
2.832,42.48,0.14,0.35,0.41,0.11,NONE,NORMAL
2.836,46.0,0.14,0.35,0.41,0.11,NONE,NORMAL
2.84,55.7,0.14,0.35,0.41,0.11,NONE,NORMAL
2.844,43.43,0.14,0.35,0.41,0.11,NONE,NORMAL
2.848,43.6,0.14,0.35,0.41,0.11,NONE,NORMAL
2.852,47.76,0.14,0.35,0.41,0.11,NONE,NORMAL
2.855,34.85,0.14,0.35,0.41,0.11,NONE,NORMAL
2.859,33.1,0.14,0.35,0.41,0.11,NONE,NORMAL
2.863,21.23,0.14,0.35,0.41,0.11,NONE,NORMAL
2.867,16.6,0.14,0.35,0.41,0.11,NONE,NORMAL
2.871,8.93,0.14,0.35,0.41,0.11,NONE,NORMAL
2.875,-12.82,0.14,0.35,0.41,0.11,NONE,NORMAL
2.879,-2.75,0.14,0.35,0.41,0.11,NONE,NORMAL
2.883,-27.11,0.14,0.35,0.41,0.11,NONE,NORMAL
2.887,-41.69,0.14,0.35,0.41,0.11,NONE,NORMAL
2.891,-55.89,0.14,0.35,0.41,0.11,NONE,NORMAL
2.895,-65.98,0.14,0.35,0.41,0.11,NONE,NORMAL
2.898,-76.7,0.14,0.35,0.41,0.11,NONE,NORMAL
2.902,-72.39,0.14,0.35,0.41,0.11,NONE,NORMAL
2.906,-91.11,0.14,0.35,0.41,0.11,NONE,NORMAL
2.91,-95.76,0.14,0.35,0.41,0.11,NONE,NORMAL
2.914,-104.51,0.14,0.35,0.41,0.11,NONE,NORMAL
2.918,-95.79,0.14,0.35,0.41,0.11,NONE,NORMAL
2.922,-96.26,0.14,0.35,0.41,0.11,NONE,NORMAL
2.926,-82.25,0.14,0.35,0.41,0.11,NONE,NORMAL
2.93,-72.29,0.14,0.35,0.41,0.11,NONE,NORMAL
2.934,-55.58,0.14,0.35,0.41,0.11,NONE,NORMAL
2.938,-42.18,0.14,0.35,0.41,0.11,NONE,NORMAL
2.941,-17.05,0.14,0.35,0.41,0.11,NONE,NORMAL
2.945,-0.11,0.14,0.35,0.41,0.11,NONE,NORMAL
2.949,7.51,0.14,0.35,0.41,0.11,NONE,NORMAL
2.953,35.5,0.14,0.35,0.41,0.11,NONE,NORMAL
2.957,57.99,0.14,0.35,0.41,0.11,NONE,NORMAL
2.961,61.06,0.14,0.35,0.41,0.11,NONE,NORMAL
2.965,84.83,0.14,0.35,0.41,0.11,NONE,NORMAL
2.969,95.53,0.14,0.35,0.41,0.11,NONE,NORMAL
2.973,87.83,0.14,0.35,0.41,0.11,NONE,NORMAL
2.977,99.4,0.14,0.35,0.41,0.11,NONE,NORMAL
2.98,105.76,0.14,0.35,0.41,0.11,NONE,NORMAL
2.984,88.85,0.14,0.35,0.41,0.11,NONE,NORMAL
2.988,87.12,0.14,0.35,0.41,0.11,NONE,NORMAL
2.992,72.87,0.14,0.35,0.41,0.11,NONE,NORMAL
2.996,63.0,0.14,0.35,0.41,0.11,NONE,NORMAL
3.0,53.0,0.14,0.35,0.41,0.11,NONE,NORMAL
3.004,45.14,0.14,0.35,0.41,0.11,NONE,NORMAL
3.008,24.06,0.14,0.35,0.41,0.11,NONE,NORMAL
3.012,20.03,0.14,0.35,0.41,0.11,NONE,NORMAL
3.016,5.43,0.14,0.35,0.41,0.11,NONE,NORMAL
3.02,-12.15,0.14,0.35,0.41,0.11,NONE,NORMAL
3.023,-23.61,0.14,0.35,0.41,0.11,NONE,NORMAL
3.027,-25.14,0.14,0.35,0.41,0.11,NONE,NORMAL
3.031,-36.75,0.14,0.35,0.41,0.11,NONE,NORMAL
3.035,-43.69,0.14,0.35,0.41,0.11,NONE,NORMAL
3.039,-45.13,0.14,0.35,0.41,0.11,NONE,NORMAL
3.043,-49.79,0.14,0.35,0.41,0.11,NONE,NORMAL
3.047,-50.4,0.14,0.35,0.41,0.11,NONE,NORMAL
3.051,-58.33,0.14,0.35,0.41,0.11,NONE,NORMAL
3.055,-52.38,0.14,0.35,0.41,0.11,NONE,NORMAL
3.059,-32.15,0.14,0.35,0.41,0.11,NONE,NORMAL
3.062,-49.78,0.14,0.35,0.41,0.11,NONE,NORMAL
3.066,-52.6,0.14,0.35,0.41,0.11,NONE,NORMAL
3.07,-33.75,0.14,0.35,0.41,0.11,NONE,NORMAL
3.074,-37.12,0.14,0.35,0.41,0.11,NONE,NORMAL
3.078,-20.78,0.14,0.35,0.41,0.11,NONE,NORMAL
3.082,-25.52,0.14,0.35,0.41,0.11,NONE,NORMAL
3.086,-4.08,0.14,0.35,0.41,0.11,NONE,NORMAL
3.09,-11.9,0.14,0.35,0.41,0.11,NONE,NORMAL
3.094,7.03,0.14,0.35,0.41,0.11,NONE,NORMAL
3.098,12.66,0.14,0.35,0.41,0.11,NONE,NORMAL
3.102,13.86,0.14,0.35,0.41,0.11,NONE,NORMAL
3.105,23.59,0.14,0.35,0.41,0.11,NONE,NORMAL
3.109,9.0,0.14,0.35,0.41,0.11,NONE,NORMAL
3.113,30.25,0.14,0.35,0.41,0.11,NONE,NORMAL
3.117,38.74,0.14,0.35,0.41,0.11,NONE,NORMAL
3.121,24.76,0.14,0.35,0.41,0.11,NONE,NORMAL
3.125,24.31,0.14,0.35,0.41,0.11,NONE,NORMAL
3.129,29.14,0.14,0.35,0.41,0.11,NONE,NORMAL
3.133,15.89,0.14,0.35,0.41,0.11,NONE,NORMAL
3.137,6.24,0.14,0.35,0.41,0.11,NONE,NORMAL
3.141,1.76,0.14,0.35,0.41,0.11,NONE,NORMAL
3.145,-2.04,0.14,0.35,0.41,0.11,NONE,NORMAL
3.148,-12.29,0.14,0.35,0.41,0.11,NONE,NORMAL
