time,amplitude,theta_power,alpha_power,beta_power,gamma_power,command,attention_deficit
1.574,-42.04,0.09,0.33,0.47,0.11,NONE,NORMAL
1.578,-48.61,0.09,0.33,0.47,0.11,NONE,NORMAL
1.582,-51.65,0.09,0.33,0.47,0.11,NONE,NORMAL
1.586,-56.01,0.09,0.33,0.47,0.11,NONE,NORMAL
1.59,-36.46,0.09,0.33,0.47,0.11,NONE,NORMAL
1.594,-37.89,0.09,0.33,0.47,0.11,NONE,NORMAL
1.598,-25.0,0.09,0.33,0.47,0.11,NONE,NORMAL
1.602,-23.5,0.09,0.33,0.47,0.11,NONE,NORMAL
1.605,-8.47,0.09,0.33,0.47,0.11,NONE,NORMAL
1.609,-7.47,0.09,0.33,0.47,0.11,NONE,NORMAL
1.613,-7.95,0.09,0.33,0.47,0.11,NONE,NORMAL
1.617,-3.25,0.09,0.33,0.47,0.11,NONE,NORMAL
1.621,14.21,0.09,0.33,0.47,0.11,NONE,NORMAL
1.625,22.56,0.09,0.33,0.47,0.11,NONE,NORMAL
1.629,28.67,0.09,0.33,0.47,0.11,NONE,NORMAL
1.633,26.07,0.09,0.33,0.47,0.11,NONE,NORMAL
1.637,25.83,0.09,0.33,0.47,0.11,NONE,NORMAL
1.641,41.79,0.09,0.33,0.47,0.11,NONE,NORMAL
1.645,42.46,0.09,0.33,0.47,0.11,NONE,NORMAL
1.648,35.9,0.09,0.33,0.47,0.11,NONE,NORMAL
1.652,32.71,0.09,0.33,0.47,0.11,NONE,NORMAL
1.656,30.9,0.09,0.33,0.47,0.11,NONE,NORMAL
1.66,21.17,0.09,0.33,0.47,0.11,NONE,NORMAL
1.664,19.12,0.09,0.33,0.47,0.11,NONE,NORMAL
1.668,10.35,0.09,0.33,0.47,0.11,NONE,NORMAL
1.672,-4.33,0.09,0.33,0.47,0.11,NONE,NORMAL
1.676,-16.79,0.09,0.33,0.47,0.11,NONE,NORMAL
1.68,-30.8,0.09,0.33,0.47,0.11,NONE,NORMAL
1.684,-28.42,0.09,0.33,0.47,0.11,NONE,NORMAL
1.688,-34.98,0.09,0.33,0.47,0.11,NONE,NORMAL
1.691,-32.25,0.09,0.33,0.47,0.11,NONE,NORMAL
1.695,-32.72,0.09,0.33,0.47,0.11,NONE,NORMAL
1.699,-20.91,0.09,0.33,0.47,0.11,NONE,NORMAL
1.703,-27.71,0.09,0.33,0.47,0.11,NONE,NORMAL
1.707,-33.18,0.09,0.33,0.47,0.11,NONE,NORMAL
1.711,-16.08,0.09,0.33,0.47,0.11,NONE,NORMAL
1.715,-1.07,0.09,0.33,0.47,0.11,NONE,NORMAL
1.719,3.19,0.09,0.33,0.47,0.11,NONE,NORMAL
1.723,4.17,0.09,0.33,0.47,0.11,NONE,NORMAL
1.727,8.36,0.09,0.33,0.47,0.11,NONE,NORMAL
1.73,25.01,0.09,0.33,0.47,0.11,NONE,NORMAL
1.734,29.28,0.09,0.33,0.47,0.11,NONE,NORMAL
1.738,26.67,0.09,0.33,0.47,0.11,NONE,NORMAL
1.742,39.07,0.09,0.33,0.47,0.11,NONE,NORMAL
1.746,33.65,0.09,0.33,0.47,0.11,NONE,NORMAL
1.75,28.13,0.09,0.33,0.47,0.11,NONE,NORMAL
1.754,26.99,0.09,0.33,0.47,0.11,NONE,NORMAL
1.758,18.64,0.09,0.33,0.47,0.11,NONE,NORMAL
1.762,-0.7,0.09,0.33,0.47,0.11,NONE,NORMAL
1.766,6.06,0.09,0.33,0.47,0.11,NONE,NORMAL
1.77,-0.46,0.09,0.33,0.47,0.11,NONE,NORMAL
1.773,-24.31,0.09,0.33,0.47,0.11,NONE,NORMAL
1.777,-21.27,0.09,0.33,0.47,0.11,NONE,NORMAL
1.781,-18.31,0.09,0.33,0.47,0.11,NONE,NORMAL
1.785,-36.02,0.09,0.33,0.47,0.11,NONE,NORMAL
1.789,-38.75,0.09,0.33,0.47,0.11,NONE,NORMAL
1.793,-38.2,0.09,0.33,0.47,0.11,NONE,NORMAL
1.797,-39.06,0.09,0.33,0.47,0.11,NONE,NORMAL
1.801,-32.79,0.09,0.33,0.47,0.11,NONE,NORMAL
1.805,-20.47,0.09,0.33,0.47,0.11,NONE,NORMAL
1.809,-27.9,0.09,0.33,0.47,0.11,NONE,NORMAL
1.812,-16.63,0.09,0.33,0.47,0.11,NONE,NORMAL
1.816,-15.91,0.09,0.33,0.47,0.11,NONE,NORMAL
1.82,-8.24,0.09,0.33,0.47,0.11,NONE,NORMAL
1.824,7.19,0.09,0.33,0.47,0.11,NONE,NORMAL
1.828,11.03,0.09,0.33,0.47,0.11,NONE,NORMAL
1.832,27.25,0.09,0.33,0.47,0.11,NONE,NORMAL
1.836,24.27,0.09,0.33,0.47,0.11,NONE,NORMAL
1.84,38.22,0.09,0.33,0.47,0.11,NONE,NORMAL
1.844,36.41,0.09,0.33,0.47,0.11,NONE,NORMAL
1.848,43.12,0.09,0.33,0.47,0.11,NONE,NORMAL
1.852,36.66,0.09,0.33,0.47,0.11,NONE,NORMAL
1.855,46.76,0.09,0.33,0.47,0.11,NONE,NORMAL
1.859,50.37,0.09,0.33,0.47,0.11,NONE,NORMAL
1.863,42.57,0.09,0.33,0.47,0.11,NONE,NORMAL
1.867,48.52,0.09,0.33,0.47,0.11,NONE,NORMAL
1.871,46.31,0.09,0.33,0.47,0.11,NONE,NORMAL
1.875,45.63,0.09,0.33,0.47,0.11,NONE,NORMAL
1.879,52.02,0.09,0.33,0.47,0.11,NONE,NORMAL
1.883,42.65,0.09,0.33,0.47,0.11,NONE,NORMAL
1.887,29.02,0.09,0.33,0.47,0.11,NONE,NORMAL
1.891,13.63,0.09,0.33,0.47,0.11,NONE,NORMAL
1.895,14.09,0.09,0.33,0.47,0.11,NONE,NORMAL
1.898,-18.46,0.09,0.33,0.47,0.11,NONE,NORMAL
1.902,-17.2,0.09,0.33,0.47,0.11,NONE,NORMAL
1.906,-39.97,0.09,0.33,0.47,0.11,NONE,NORMAL
1.91,-40.04,0.09,0.33,0.47,0.11,NONE,NORMAL
1.914,-68.94,0.09,0.33,0.47,0.11,NONE,NORMAL
1.918,-78.6,0.09,0.33,0.47,0.11,NONE,NORMAL
1.922,-83.18,0.09,0.33,0.47,0.11,NONE,NORMAL
1.926,-90.85,0.09,0.33,0.47,0.11,NONE,NORMAL
1.93,-93.8,0.09,0.33,0.47,0.11,NONE,NORMAL
1.934,-91.92,0.09,0.33,0.47,0.11,NONE,NORMAL
1.938,-91.96,0.09,0.33,0.47,0.11,NONE,NORMAL
1.941,-89.4,0.09,0.33,0.47,0.11,NONE,NORMAL
1.945,-78.1,0.09,0.33,0.47,0.11,NONE,NORMAL
1.949,-66.38,0.09,0.33,0.47,0.11,NONE,NORMAL
1.953,-51.46,0.09,0.33,0.47,0.11,NONE,NORMAL
1.957,-27.74,0.09,0.33,0.47,0.11,NONE,NORMAL
1.961,-21.76,0.09,0.33,0.47,0.11,NONE,NORMAL
1.965,3.91,0.09,0.33,0.47,0.11,NONE,NORMAL
1.969,20.76,0.09,0.33,0.47,0.11,NONE,NORMAL
1.973,46.39,0.09,0.33,0.47,0.11,NONE,NORMAL
1.977,64.6,0.09,0.33,0.47,0.11,NONE,NORMAL
1.98,83.63,0.09,0.33,0.47,0.11,NONE,NORMAL
1.984,82.55,0.09,0.33,0.47,0.11,NONE,NORMAL
1.988,100.64,0.09,0.33,0.47,0.11,NONE,NORMAL
1.992,98.84,0.09,0.33,0.47,0.11,NONE,NORMAL
1.996,102.68,0.09,0.33,0.47,0.11,NONE,NORMAL
2.0,93.69,0.18,0.34,0.35,0.13,NONE,NORMAL
2.004,92.01,0.18,0.34,0.35,0.13,NONE,NORMAL
2.008,81.79,0.18,0.34,0.35,0.13,NONE,NORMAL
2.012,68.95,0.18,0.34,0.35,0.13,NONE,NORMAL
2.016,62.04,0.18,0.34,0.35,0.13,NONE,NORMAL
2.02,44.15,0.18,0.34,0.35,0.13,NONE,NORMAL
2.023,38.25,0.18,0.34,0.35,0.13,NONE,NORMAL
2.027,18.43,0.18,0.34,0.35,0.13,NONE,NORMAL
2.031,16.23,0.18,0.34,0.35,0.13,NONE,NORMAL
2.035,-9.61,0.18,0.34,0.35,0.13,NONE,NORMAL
2.039,-10.13,0.18,0.34,0.35,0.13,NONE,NORMAL
2.043,-14.59,0.18,0.34,0.35,0.13,NONE,NORMAL
2.047,-18.58,0.18,0.34,0.35,0.13,NONE,NORMAL
2.051,-24.79,0.18,0.34,0.35,0.13,NONE,NORMAL
2.055,-21.58,0.18,0.34,0.35,0.13,NONE,NORMAL
2.059,-28.44,0.18,0.34,0.35,0.13,NONE,NORMAL
2.062,-41.56,0.18,0.34,0.35,0.13,NONE,NORMAL
2.066,-33.95,0.18,0.34,0.35,0.13,NONE,NORMAL
2.07,-35.27,0.18,0.34,0.35,0.13,NONE,NORMAL
2.074,-38.12,0.18,0.34,0.35,0.13,NONE,NORMAL
2.078,-43.65,0.18,0.34,0.35,0.13,NONE,NORMAL
2.082,-33.78,0.18,0.34,0.35,0.13,NONE,NORMAL
2.086,-34.05,0.18,0.34,0.35,0.13,NONE,NORMAL
2.09,-36.5,0.18,0.34,0.35,0.13,NONE,NORMAL
2.094,-26.0,0.18,0.34,0.35,0.13,NONE,NORMAL
2.098,-25.64,0.18,0.34,0.35,0.13,NONE,NORMAL
2.102,-30.44,0.18,0.34,0.35,0.13,NONE,NORMAL
2.105,-24.18,0.18,0.34,0.35,0.13,NONE,NORMAL
2.109,-11.54,0.18,0.34,0.35,0.13,NONE,NORMAL
2.113,-2.2,0.18,0.34,0.35,0.13,NONE,NORMAL
2.117,-4.56,0.18,0.34,0.35,0.13,NONE,NORMAL
2.121,9.75,0.18,0.34,0.35,0.13,NONE,NORMAL
2.125,18.98,0.18,0.34,0.35,0.13,NONE,NORMAL
2.129,21.16,0.18,0.34,0.35,0.13,NONE,NORMAL
2.133,25.39,0.18,0.34,0.35,0.13,NONE,NORMAL
2.137,28.11,0.18,0.34,0.35,0.13,NONE,NORMAL
2.141,30.31,0.18,0.34,0.35,0.13,NONE,NORMAL
2.145,21.43,0.18,0.34,0.35,0.13,NONE,NORMAL
2.148,17.05,0.18,0.34,0.35,0.13,NONE,NORMAL
2.152,14.55,0.18,0.34,0.35,0.13,NONE,NORMAL
2.156,6.26,0.18,0.34,0.35,0.13,NONE,NORMAL
2.16,7.26,0.18,0.34,0.35,0.13,NONE,NORMAL
2.164,-7.31,0.18,0.34,0.35,0.13,NONE,NORMAL
2.168,-13.15,0.18,0.34,0.35,0.13,NONE,NORMAL
2.172,-18.74,0.18,0.34,0.35,0.13,NONE,NORMAL
2.176,-22.32,0.18,0.34,0.35,0.13,NONE,NORMAL
2.18,-34.98,0.18,0.34,0.35,0.13,NONE,NORMAL
2.184,-32.52,0.18,0.34,0.35,0.13,NONE,NORMAL
2.188,-38.53,0.18,0.34,0.35,0.13,NONE,NORMAL
2.191,-35.29,0.18,0.34,0.35,0.13,NONE,NORMAL
2.195,-29.39,0.18,0.34,0.35,0.13,NONE,NORMAL
2.199,-25.22,0.18,0.34,0.35,0.13,NONE,NORMAL
2.203,-19.68,0.18,0.34,0.35,0.13,NONE,NORMAL
2.207,-4.92,0.18,0.34,0.35,0.13,NONE,NORMAL
2.211,5.81,0.18,0.34,0.35,0.13,NONE,NORMAL
2.215,11.37,0.18,0.34,0.35,0.13,NONE,NORMAL
2.219,23.69,0.18,0.34,0.35,0.13,NONE,NORMAL
2.223,23.79,0.18,0.34,0.35,0.13,NONE,NORMAL
2.227,23.26,0.18,0.34,0.35,0.13,NONE,NORMAL
2.23,33.4,0.18,0.34,0.35,0.13,NONE,NORMAL
2.234,33.87,0.18,0.34,0.35,0.13,NONE,NORMAL
2.238,23.12,0.18,0.34,0.35,0.13,NONE,NORMAL
2.242,20.59,0.18,0.34,0.35,0.13,NONE,NORMAL
2.246,17.68,0.18,0.34,0.35,0.13,NONE,NORMAL
2.25,14.07,0.18,0.34,0.35,0.13,NONE,NORMAL
2.254,-4.5,0.18,0.34,0.35,0.13,NONE,NORMAL
2.258,-4.11,0.18,0.34,0.35,0.13,NONE,NORMAL
2.262,-7.46,0.18,0.34,0.35,0.13,NONE,NORMAL
2.266,-11.13,0.18,0.34,0.35,0.13,NONE,NORMAL
2.27,-24.22,0.18,0.34,0.35,0.13,NONE,NORMAL
2.273,-26.48,0.18,0.34,0.35,0.13,NONE,NORMAL
2.277,-26.95,0.18,0.34,0.35,0.13,NONE,NORMAL
2.281,-23.81,0.18,0.34,0.35,0.13,NONE,NORMAL
2.285,-17.91,0.18,0.34,0.35,0.13,NONE,NORMAL
2.289,-18.68,0.18,0.34,0.35,0.13,NONE,NORMAL
2.293,-15.07,0.18,0.34,0.35,0.13,NONE,NORMAL
2.297,-10.96,0.18,0.34,0.35,0.13,NONE,NORMAL
2.301,-1.41,0.18,0.34,0.35,0.13,NONE,NORMAL
2.305,10.19,0.18,0.34,0.35,0.13,NONE,NORMAL
2.309,20.41,0.18,0.34,0.35,0.13,NONE,NORMAL
2.312,13.52,0.18,0.34,0.35,0.13,NONE,NORMAL
2.316,26.72,0.18,0.34,0.35,0.13,NONE,NORMAL
2.32,33.32,0.18,0.34,0.35,0.13,NONE,NORMAL
2.324,39.88,0.18,0.34,0.35,0.13,NONE,NORMAL
2.328,44.78,0.18,0.34,0.35,0.13,NONE,NORMAL
2.332,47.1,0.18,0.34,0.35,0.13,NONE,NORMAL
2.336,39.34,0.18,0.34,0.35,0.13,NONE,NORMAL
2.34,42.93,0.18,0.34,0.35,0.13,NONE,NORMAL
2.344,41.39,0.18,0.34,0.35,0.13,NONE,NORMAL
2.348,48.32,0.18,0.34,0.35,0.13,NONE,NORMAL
2.352,31.14,0.18,0.34,0.35,0.13,NONE,NORMAL
2.355,41.13,0.18,0.34,0.35,0.13,NONE,NORMAL
2.359,25.94,0.18,0.34,0.35,0.13,NONE,NORMAL
2.363,31.98,0.18,0.34,0.35,0.13,NONE,NORMAL
2.367,21.21,0.18,0.34,0.35,0.13,NONE,NORMAL
2.371,16.49,0.18,0.34,0.35,0.13,NONE,NORMAL
2.375,11.28,0.18,0.34,0.35,0.13,NONE,NORMAL
2.379,1.65,0.18,0.34,0.35,0.13,NONE,NORMAL
2.383,1.6,0.18,0.34,0.35,0.13,NONE,NORMAL
2.387,-11.19,0.18,0.34,0.35,0.13,NONE,NORMAL
2.391,-32.46,0.18,0.34,0.35,0.13,NONE,NORMAL
2.395,-26.01,0.18,0.34,0.35,0.13,NONE,NORMAL
2.398,-55.16,0.18,0.34,0.35,0.13,NONE,NORMAL
2.402,-59.11,0.18,0.34,0.35,0.13,NONE,NORMAL
2.406,-64.45,0.18,0.34,0.35,0.13,NONE,NORMAL
2.41,-80.83,0.18,0.34,0.35,0.13,NONE,NORMAL
2.414,-96.16,0.18,0.34,0.35,0.13,NONE,NORMAL
2.418,-93.14,0.18,0.34,0.35,0.13,NONE,NORMAL
2.422,-102.8,0.18,0.34,0.35,0.13,NONE,NORMAL
2.426,-107.5,0.18,0.34,0.35,0.13,NONE,NORMAL
2.43,-95.09,0.18,0.34,0.35,0.13,NONE,NORMAL
2.434,-90.26,0.18,0.34,0.35,0.13,NONE,NORMAL
2.438,-80.82,0.18,0.34,0.35,0.13,NONE,NORMAL
2.441,-60.04,0.18,0.34,0.35,0.13,NONE,NORMAL
2.445,-44.67,0.18,0.34,0.35,0.13,NONE,NORMAL
2.449,-29.01,0.18,0.34,0.35,0.13,NONE,NORMAL
2.453,-4.42,0.18,0.34,0.35,0.13,NONE,NORMAL
2.457,20.94,0.18,0.34,0.35,0.13,NONE,NORMAL
2.461,30.03,0.18,0.34,0.35,0.13,NONE,NORMAL
2.465,43.59,0.18,0.34,0.35,0.13,NONE,NORMAL
2.469,70.18,0.18,0.34,0.35,0.13,NONE,NORMAL
2.473,77.35,0.18,0.34,0.35,0.13,NONE,NORMAL
2.477,86.59,0.18,0.34,0.35,0.13,NONE,NORMAL
2.48,99.79,0.18,0.34,0.35,0.13,NONE,NORMAL
2.484,100.26,0.18,0.34,0.35,0.13,NONE,NORMAL
2.488,95.29,0.18,0.34,0.35,0.13,NONE,NORMAL
2.492,93.07,0.18,0.34,0.35,0.13,NONE,NORMAL
2.496,99.5,0.18,0.34,0.35,0.13,NONE,NORMAL
2.5,81.83,0.18,0.34,0.35,0.13,NONE,NORMAL
2.504,63.45,0.18,0.34,0.35,0.13,NONE,NORMAL
2.508,55.55,0.18,0.34,0.35,0.13,NONE,NORMAL
2.512,46.98,0.18,0.34,0.35,0.13,NONE,NORMAL
2.516,27.79,0.18,0.34,0.35,0.13,NONE,NORMAL
2.52,31.62,0.18,0.34,0.35,0.13,NONE,NORMAL
2.523,8.84,0.18,0.34,0.35,0.13,NONE,NORMAL
2.527,9.78,0.18,0.34,0.35,0.13,NONE,NORMAL
2.531,-12.11,0.18,0.34,0.35,0.13,NONE,NORMAL
2.535,-10.21,0.18,0.34,0.35,0.13,NONE,NORMAL
2.539,-29.11,0.18,0.34,0.35,0.13,NONE,NORMAL
2.543,-24.69,0.18,0.34,0.35,0.13,NONE,NORMAL
2.547,-28.98,0.18,0.34,0.35,0.13,NONE,NORMAL
2.551,-26.66,0.18,0.34,0.35,0.13,NONE,NORMAL
2.555,-37.6,0.18,0.34,0.35,0.13,NONE,NORMAL
2.559,-41.58,0.18,0.34,0.35,0.13,NONE,NORMAL
2.562,-43.81,0.18,0.34,0.35,0.13,NONE,NORMAL
2.566,-42.89,0.18,0.34,0.35,0.13,NONE,NORMAL
2.57,-38.13,0.18,0.34,0.35,0.13,NONE,NORMAL
2.574,-32.66,0.18,0.34,0.35,0.13,NONE,NORMAL
2.578,-29.89,0.18,0.34,0.35,0.13,NONE,NORMAL
2.582,-31.45,0.18,0.34,0.35,0.13,NONE,NORMAL
2.586,-30.94,0.18,0.34,0.35,0.13,NONE,NORMAL
2.59,-19.03,0.18,0.34,0.35,0.13,NONE,NORMAL
2.594,-15.86,0.18,0.34,0.35,0.13,NONE,NORMAL
2.598,-20.28,0.18,0.34,0.35,0.13,NONE,NORMAL
2.602,-9.26,0.18,0.34,0.35,0.13,NONE,NORMAL
2.605,3.81,0.18,0.34,0.35,0.13,NONE,NORMAL
2.609,2.67,0.18,0.34,0.35,0.13,NONE,NORMAL
2.613,12.43,0.18,0.34,0.35,0.13,NONE,NORMAL
2.617,17.37,0.18,0.34,0.35,0.13,NONE,NORMAL
2.621,20.87,0.18,0.34,0.35,0.13,NONE,NORMAL
2.625,36.22,0.18,0.34,0.35,0.13,NONE,NORMAL
2.629,29.93,0.18,0.34,0.35,0.13,NONE,NORMAL
2.633,13.1,0.18,0.34,0.35,0.13,NONE,NORMAL
2.637,23.2,0.18,0.34,0.35,0.13,NONE,NORMAL
2.641,18.89,0.18,0.34,0.35,0.13,NONE,NORMAL
2.645,10.65,0.18,0.34,0.35,0.13,NONE,NORMAL
2.648,6.98,0.18,0.34,0.35,0.13,NONE,NORMAL
2.652,-6.01,0.18,0.34,0.35,0.13,NONE,NORMAL
2.656,-3.58,0.18,0.34,0.35,0.13,NONE,NORMAL
2.66,-16.53,0.18,0.34,0.35,0.13,NONE,NORMAL
2.664,-18.9,0.18,0.34,0.35,0.13,NONE,NORMAL
2.668,-27.52,0.18,0.34,0.35,0.13,NONE,NORMAL
2.672,-33.75,0.18,0.34,0.35,0.13,NONE,NORMAL
2.676,-33.22,0.18,0.34,0.35,0.13,NONE,NORMAL
2.68,-28.74,0.18,0.34,0.35,0.13,NONE,NORMAL
2.684,-24.2,0.18,0.34,0.35,0.13,NONE,NORMAL
2.688,-27.08,0.18,0.34,0.35,0.13,NONE,NORMAL
2.691,-22.54,0.18,0.34,0.35,0.13,NONE,NORMAL
2.695,-8.76,0.18,0.34,0.35,0.13,NONE,NORMAL
2.699,-4.96,0.18,0.34,0.35,0.13,NONE,NORMAL
2.703,9.11,0.18,0.34,0.35,0.13,NONE,NORMAL
2.707,19.23,0.18,0.34,0.35,0.13,NONE,NORMAL
2.711,23.02,0.18,0.34,0.35,0.13,NONE,NORMAL
2.715,28.63,0.18,0.34,0.35,0.13,NONE,NORMAL
2.719,28.57,0.18,0.34,0.35,0.13,NONE,NORMAL
2.723,31.19,0.18,0.34,0.35,0.13,NONE,NORMAL
2.727,32.45,0.18,0.34,0.35,0.13,NONE,NORMAL
2.73,37.51,0.18,0.34,0.35,0.13,NONE,NORMAL
2.734,29.42,0.18,0.34,0.35,0.13,NONE,NORMAL
2.738,22.33,0.18,0.34,0.35,0.13,NONE,NORMAL
2.742,11.54,0.18,0.34,0.35,0.13,NONE,NORMAL
2.746,1.49,0.18,0.34,0.35,0.13,NONE,NORMAL
2.75,-3.63,0.18,0.34,0.35,0.13,NONE,NORMAL
2.754,-16.93,0.18,0.34,0.35,0.13,NONE,NORMAL
2.758,-18.3,0.18,0.34,0.35,0.13,NONE,NORMAL
2.762,-13.07,0.18,0.34,0.35,0.13,NONE,NORMAL
2.766,-20.94,0.18,0.34,0.35,0.13,NONE,NORMAL
2.77,-26.51,0.18,0.34,0.35,0.13,NONE,NORMAL
2.773,-22.92,0.18,0.34,0.35,0.13,NONE,NORMAL
2.777,-24.08,0.18,0.34,0.35,0.13,NONE,NORMAL
2.781,-12.15,0.18,0.34,0.35,0.13,NONE,NORMAL
2.785,-7.63,0.18,0.34,0.35,0.13,NONE,NORMAL
2.789,-6.19,0.18,0.34,0.35,0.13,NONE,NORMAL
2.793,-0.66,0.18,0.34,0.35,0.13,NONE,NORMAL
2.797,9.42,0.18,0.34,0.35,0.13,NONE,NORMAL
2.801,17.6,0.18,0.34,0.35,0.13,NONE,NORMAL
2.805,19.95,0.18,0.34,0.35,0.13,NONE,NORMAL
2.809,19.91,0.18,0.34,0.35,0.13,NONE,NORMAL
2.812,37.7,0.18,0.34,0.35,0.13,NONE,NORMAL
2.816,30.71,0.18,0.34,0.35,0.13,NONE,NORMAL
2.82,29.63,0.18,0.34,0.35,0.13,NONE,NORMAL
2.824,30.17,0.18,0.34,0.35,0.13,NONE,NORMAL
2.828,35.18,0.18,0.34,0.35,0.13,NONE,NORMAL
2.832,42.31,0.18,0.34,0.35,0.13,NONE,NORMAL
2.836,47.84,0.18,0.34,0.35,0.13,NONE,NORMAL
2.84,33.52,0.18,0.34,0.35,0.13,NONE,NORMAL
2.844,32.44,0.18,0.34,0.35,0.13,NONE,NORMAL
2.848,35.95,0.18,0.34,0.35,0.13,NONE,NORMAL
2.852,19.18,0.18,0.34,0.35,0.13,NONE,NORMAL
2.855,35.89,0.18,0.34,0.35,0.13,NONE,NORMAL
2.859,21.66,0.18,0.34,0.35,0.13,NONE,NORMAL
2.863,16.6,0.18,0.34,0.35,0.13,NONE,NORMAL
2.867,16.4,0.18,0.34,0.35,0.13,NONE,NORMAL
2.871,4.13,0.18,0.34,0.35,0.13,NONE,NORMAL
2.875,-15.83,0.18,0.34,0.35,0.13,NONE,NORMAL
2.879,-14.75,0.18,0.34,0.35,0.13,NONE,NORMAL
2.883,-29.33,0.18,0.34,0.35,0.13,NONE,NORMAL
2.887,-44.58,0.18,0.34,0.35,0.13,NONE,NORMAL
2.891,-53.66,0.18,0.34,0.35,0.13,NONE,NORMAL
2.895,-62.52,0.18,0.34,0.35,0.13,NONE,NORMAL
2.898,-80.17,0.18,0.34,0.35,0.13,NONE,NORMAL
2.902,-87.84,0.18,0.34,0.35,0.13,NONE,NORMAL
2.906,-100.39,0.18,0.34,0.35,0.13,NONE,NORMAL
2.91,-110.31,0.18,0.34,0.35,0.13,NONE,NORMAL
2.914,-101.2,0.18,0.34,0.35,0.13,NONE,NORMAL
2.918,-100.85,0.18,0.34,0.35,0.13,NONE,NORMAL
2.922,-84.24,0.18,0.34,0.35,0.13,NONE,NORMAL
2.926,-90.65,0.18,0.34,0.35,0.13,NONE,NORMAL
2.93,-66.55,0.18,0.34,0.35,0.13,NONE,NORMAL
2.934,-51.48,0.18,0.34,0.35,0.13,NONE,NORMAL
2.938,-35.94,0.18,0.34,0.35,0.13,NONE,NORMAL
2.941,-25.31,0.18,0.34,0.35,0.13,NONE,NORMAL
2.945,-4.36,0.18,0.34,0.35,0.13,NONE,NORMAL
2.949,18.71,0.18,0.34,0.35,0.13,NONE,NORMAL
2.953,43.7,0.18,0.34,0.35,0.13,NONE,NORMAL
2.957,53.53,0.18,0.34,0.35,0.13,NONE,NORMAL
2.961,64.16,0.18,0.34,0.35,0.13,NONE,NORMAL
2.965,88.8,0.18,0.34,0.35,0.13,NONE,NORMAL
2.969,89.86,0.18,0.34,0.35,0.13,NONE,NORMAL
2.973,101.43,0.18,0.34,0.35,0.13,NONE,NORMAL
2.977,96.79,0.18,0.34,0.35,0.13,NONE,NORMAL
2.98,97.47,0.18,0.34,0.35,0.13,NONE,NORMAL
2.984,92.98,0.18,0.34,0.35,0.13,NONE,NORMAL
2.988,81.52,0.18,0.34,0.35,0.13,NONE,NORMAL
2.992,69.46,0.18,0.34,0.35,0.13,NONE,NORMAL
2.996,67.26,0.18,0.34,0.35,0.13,NONE,NORMAL
3.0,57.45,0.18,0.34,0.35,0.13,NONE,NORMAL
3.004,39.34,0.18,0.34,0.35,0.13,NONE,NORMAL
3.008,32.59,0.18,0.34,0.35,0.13,NONE,NORMAL
3.012,3.62,0.18,0.34,0.35,0.13,NONE,NORMAL
3.016,5.24,0.18,0.34,0.35,0.13,NONE,NORMAL
3.02,2.04,0.18,0.34,0.35,0.13,NONE,NORMAL
3.023,-23.78,0.18,0.34,0.35,0.13,NONE,NORMAL
3.027,-21.27,0.18,0.34,0.35,0.13,NONE,NORMAL
3.031,-20.19,0.18,0.34,0.35,0.13,NONE,NORMAL
3.035,-27.46,0.18,0.34,0.35,0.13,NONE,NORMAL
3.039,-37.23,0.18,0.34,0.35,0.13,NONE,NORMAL
3.043,-27.79,0.18,0.34,0.35,0.13,NONE,NORMAL
3.047,-36.92,0.18,0.34,0.35,0.13,NONE,NORMAL
3.051,-42.67,0.18,0.34,0.35,0.13,NONE,NORMAL
3.055,-38.4,0.18,0.34,0.35,0.13,NONE,NORMAL
3.059,-40.99,0.18,0.34,0.35,0.13,NONE,NORMAL
3.062,-39.74,0.18,0.34,0.35,0.13,NONE,NORMAL
3.066,-37.58,0.18,0.34,0.35,0.13,NONE,NORMAL
3.07,-46.9,0.18,0.34,0.35,0.13,NONE,NORMAL
3.074,-38.77,0.18,0.34,0.35,0.13,NONE,NORMAL
3.078,-31.39,0.18,0.34,0.35,0.13,NONE,NORMAL
3.082,-29.87,0.18,0.34,0.35,0.13,NONE,NORMAL
3.086,-24.36,0.18,0.34,0.35,0.13,NONE,NORMAL
3.09,-19.32,0.18,0.34,0.35,0.13,NONE,NORMAL
3.094,-5.75,0.18,0.34,0.35,0.13,NONE,NORMAL
3.098,1.18,0.18,0.34,0.35,0.13,NONE,NORMAL
3.102,3.06,0.18,0.34,0.35,0.13,NONE,NORMAL
3.105,18.42,0.18,0.34,0.35,0.13,NONE,NORMAL
3.109,11.31,0.18,0.34,0.35,0.13,NONE,NORMAL
3.113,20.11,0.18,0.34,0.35,0.13,NONE,NORMAL
3.117,30.3,0.18,0.34,0.35,0.13,NONE,NORMAL
3.121,24.92,0.18,0.34,0.35,0.13,NONE,NORMAL
3.125,24.15,0.18,0.34,0.35,0.13,NONE,NORMAL
3.129,22.62,0.18,0.34,0.35,0.13,NONE,NORMAL
3.133,17.85,0.18,0.34,0.35,0.13,NONE,NORMAL
3.137,11.34,0.18,0.34,0.35,0.13,NONE,NORMAL
3.141,0.33,0.18,0.34,0.35,0.13,NONE,NORMAL
3.145,4.37,0.18,0.34,0.35,0.13,NONE,NORMAL
3.148,-12.98,0.18,0.34,0.35,0.13,NONE,NORMAL
